,Name,Type,Genres,Description,img_link
0,100 dagen in je hoofd,Documentary,['Documentary'],What is it like to be mentally ill? In this six-part documentary Tim den Besten and Nicolaas Veul immerse themselves in the world of psychiatry.,"https://m.media-amazon.com/images/M/MV5BMWM0OGY0NDctNGU4ZS00MzJkLWJjNmEtY2VhNjczNzJiMzBhXkEyXkFqcGdeQXVyODkxMjQ0MjQ@._V1_QL75_UY281_CR12,0,190,281_.jpg"
1,100 dingen,Movie,"['Comedy', 'Drama']","Best friends Toni and Paul decide to relinquish all of their belongings for 100 days, taking back one item per day. During this challenge, the two realize that the only thing they cannot be ... Read all","https://m.media-amazon.com/images/M/MV5BMThkYzQwZjktYzE4ZC00NWI2LThkNzMtMDIzNDY0YzM0OTU1XkEyXkFqcGdeQXVyMzgwNTE2MDU@._V1_QL75_UY281_CR5,0,190,281_.jpg"
2,100 hindoe,Movie,"['Adventure', 'Comedy']","After living a long and colorful life, Allan Karlsson finds himself stuck in a nursing home. On his 100th birthday, he leaps out a window and begins an unexpected journey.","https://m.media-amazon.com/images/M/MV5BNDUyMzU5MTk5MF5BMl5BanBnXkFtZTgwNjcxNDQxNTE@._V1_QL75_UX190_CR0,0,190,281_.jpg"
3,10xbeter buitenleven,Series,"['Comedy', 'Family']",A New York City attorney and his wife attempt to live as genteel farmers in the bizarre community of Hooterville.,"https://m.media-amazon.com/images/M/MV5BMTczMTQ1ODg3N15BMl5BanBnXkFtZTcwMTQ2NTQ4NA@@._V1_QL75_UX190_CR0,2,190,281_.jpg"
4,13 in de oorlog marathon,Series,['War'],The story of a 13 year old boy in occupied holland during WWII,"https://m.media-amazon.com/images/M/MV5BMDEzNjQ3N2MtNjUyZi00NDNiLTgxOTYtNTQ5MzdiMGNjOTMyXkEyXkFqcGdeQXVyMzg1ODEwNQ@@._V1_QL75_UY281_CR4,0,190,281_.jpg"
5,24 uur met,Tv,['Reality-TV'],Dutch version of 24 Hours With... (2007) in which interviewer and interviewee spend 24 hours in 1 room together.,"https://m.media-amazon.com/images/M/MV5BZTY1ZDQ2ZjgtY2EwNC00ZTI4LWI5NzMtNTYxMzY1NjJjMzA3XkEyXkFqcGdeQXVyMTgwOTE5NDk@._V1_QL75_UY281_CR156,0,190,281_.jpg"
6,25 jaar foute vrienden,Documentary,"['Documentary', 'Biography', 'Crime']",Director Roy Dames captures twenty-five years of his four main characters: Herman is richer after an experience and an illusion poorer. Things go wrong with Jantje van Amsterdam. Red Jos kee... Read all,"https://m.media-amazon.com/images/M/MV5BZjMxMWQyOTEtNWE2Yy00YmNkLTkyMjMtMDU5MDUyZWU2ODU4XkEyXkFqcGdeQXVyNjk5NDcxODM@._V1_QL75_UY207_CR114,0,140,207_.jpg"
7,2doc kort,Movie,"['Drama', 'Music', 'Romance']",Film version of Jacqueline Susann's best-selling novel chronicling the rise and fall of three young women in show business.,"https://m.media-amazon.com/images/M/MV5BOTBiZTg4ODgtYzk0MC00YjA5LTgyNGUtMWYzNGQzYjBlNmY0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UY281_CR1,0,190,281_.jpg"
8,3 op reis compilaties,Tv,"['Adventure', 'Reality-TV']",A traveling program from the Netherlands.,"https://m.media-amazon.com/images/M/MV5BZjI0YTJiMzUtZWVkMC00YTA5LTg4YmUtOWFmNmQ1ZjM0MWEyXkEyXkFqcGdeQXVyMTgwOTE5NDk@._V1_QL75_UY281_CR4,0,190,281_.jpg"
9,3 op reis specials,Tv,"['Adventure', 'Reality-TV']",A traveling program from the Netherlands.,"https://m.media-amazon.com/images/M/MV5BZjI0YTJiMzUtZWVkMC00YTA5LTg4YmUtOWFmNmQ1ZjM0MWEyXkEyXkFqcGdeQXVyMTgwOTE5NDk@._V1_QL75_UY281_CR4,0,190,281_.jpg"
10,35 jaar tv show,Documentary,['Documentary'],"Aad van Toor and Bas van Toor talk about filming the television series ""Bassie en Adriaan"".","https://m.media-amazon.com/images/M/MV5BZDU1N2E2ZjMtNjEzNC00Y2U1LWFkYjktODg4YWIxNjhmNjA3XkEyXkFqcGdeQXVyMTU1NTc0MzY@._V1_QL75_UY140_CR35,0,140,140_.jpg"
11,3lab ik moet niks,Movie,['Short'],"Toebie (14) is being raised alternatively: he lives with his parents on a plot of land in France, has never been to school and learns about universal human rights. What impact does this have... Read all","https://m.media-amazon.com/images/M/MV5BOWEwZGNmYzctZmMzOS00YzZmLWE5MzktMjFlMGQ4OTBiZDUyXkEyXkFqcGdeQXVyMjY2NjQ2MDY@._V1_QL75_UY281_CR5,0,190,281_.jpg"
12,5 minuten over,Movie,"['Crime', 'Drama', 'Film-Noir']","A lawyer suffers a guilt complex after getting a murder acquittal for his client, and then finding out she did commit the crime.","https://m.media-amazon.com/images/M/MV5BOGMyYjM3M2UtOGZiMC00NTU3LWE0Y2EtZjUzNDk5NmMyNDIzXkEyXkFqcGdeQXVyMTE2NzA0Ng@@._V1_QL75_UX190_CR0,4,190,281_.jpg"
13,80 jaar oorlog,Documentary,"['Documentary', 'History', 'War']",Seven-part series that outlines the development from the relatively small Dutch uprising to a large-scale 'professional' war. Local stories play an important role in this.,"https://m.media-amazon.com/images/M/MV5BMDAxOGNhYjctNWQ2My00MTZjLWFkNWUtNDI3N2FhNWNkZWYyXkEyXkFqcGdeQXVyNjAzNzExNTk@._V1_QL75_UY281_CR5,0,190,281_.jpg"
14,a very english scandal,Tv,"['Biography', 'Comedy', 'Crime']",British Liberal Party leader Jeremy Thorpe is accused of conspiracy to murder his gay ex-lover and forced to stand trial in 1979.,"https://m.media-amazon.com/images/M/MV5BNTQ5NDI0MTQ0MV5BMl5BanBnXkFtZTgwNDEzNTc1NTM@._V1_QL75_UX190_CR0,0,190,281_.jpg"
15,aarde en ruimte,Movie,"['Drama', 'Horror', 'Sci-Fi']","The first pilot to leave Earth's atmosphere lands, then vanishes; but something with a craving for blood prowls the countryside...","https://m.media-amazon.com/images/M/MV5BMGMxMGU0MjktZWIzNC00MWJhLWIyMTItNDkyYzczOTYyYzA3XkEyXkFqcGdeQXVyNjQzNDI3NzY@._V1_QL75_UX190_CR0,3,190,281_.jpg"
16,adieu bzn,Movie,['Comedy'],A French Catholic couple sees their life get turned upside-down when their four daughters get married to men of different nationalities and religions.,"https://m.media-amazon.com/images/M/MV5BMjI3MDI3MTA0OV5BMl5BanBnXkFtZTgwOTUwNTYxMjE@._V1_QL75_UY281_CR9,0,190,281_.jpg"
17,adieu god,Movie,['Drama'],"A small Indian village: an old man is addicted to watching pornography with his friends. One fine day, he accidentally brings home a DVD with a Godard film inside it. Though his friends were... Read all","https://m.media-amazon.com/images/M/MV5BNTFiNjU5NTUtNTJkNy00YjY4LWFkNjctZTU5NzMyZjdmZGFlXkEyXkFqcGdeQXVyMzI0ODEzNzc@._V1_QL75_UY281_CR11,0,190,281_.jpg"
18,afghanistan the wounded land,Documentary,"['Documentary', 'History']","Look at 40 years of war through the eyes of those who suffer most from it - the women of Afghanistan. The documentary begins in the 1960s, when peace reigns in the Kingdom of Afghanistan. Wh... Read all","https://m.media-amazon.com/images/M/MV5BNDIwYjE4YTYtYzdlMi00NTJmLWI4NGItZjRmNDk3YTc1MGUwXkEyXkFqcGdeQXVyMTcwNTc1Ng@@._V1_QL75_UY281_CR5,0,190,281_.jpg"
19,afscheid van de generaal,Movie,['Drama'],It's the hot summer of 1972. On the 9th floor of a tower block on the outskirts of a Dutch provincial town the sixties finally kicked in. Change is in the air and actually materializes the m... Read all,"https://m.media-amazon.com/images/M/MV5BZTYzM2Q2YjktY2ZlOS00MjZjLTk2MzEtM2I5MjBjNmNmNjIyXkEyXkFqcGdeQXVyMzExODEzNDA@._V1_QL75_UY281_CR5,0,190,281_.jpg"
20,agent hamilton,Series,"['Action', 'Drama', 'Thriller']","In the wake of a series of bombings and cyberattacks in Stockholm, agent Carl Hamilton soon finds himself on a life-threatening mission against an invisible enemy with traces leading to Russ... Read all","https://m.media-amazon.com/images/M/MV5BZTNhYzdhN2MtYjAyOC00MjEzLWFlOGEtN2UwMjVmYWU1ODM1XkEyXkFqcGdeQXVyMTMwOTMzNzU@._V1_QL75_UX190_CR0,2,190,281_.jpg"
21,all inclusive,Movie,['Comedy'],Jacco and Sylvie's shaky marriage is put to the test during their stay at an All-Inclusive resort. Jacco finds it difficult to embrace the All-Inclusive culture and at the same time has to r... Read all,"https://m.media-amazon.com/images/M/MV5BM2Q0NzUyNTMtMjljYS00YmYxLThiMWQtZDhmMjJlODY3YzUyXkEyXkFqcGdeQXVyNDA4NTIwOQ@@._V1_QL75_UY281_CR4,0,190,281_.jpg"
22,alleen op een eiland met hans dorrestijn,Tv,['Reality-TV'],"Hans Dorrestijn is staying on a Wadden Island. While he enjoys nature, he dreads being alone. And when it really gets too much for him, he invites a guest.","https://m.media-amazon.com/images/M/MV5BZTExYzRiNWMtMTQ1OC00MmNmLWFlNGEtZTFiN2RhNWU3MjYyXkEyXkFqcGdeQXVyMTE5NTM5NTU5._V1_QL75_UY281_CR46,0,190,281_.jpg"
23,allemaal familie,Movie,"['Comedy', 'Romance']",Bob and Greta De Jaegher are happily married for 40 years. They can look back on a rich and fulfilled life. Their 2 sons Steve and Carl have a successful life as well. Steve is a talented an... Read all,"https://m.media-amazon.com/images/M/MV5BZGFkZWZlYjktZjU4NS00MmYxLWI5YWEtZjE0NzI5NmQyNDk3L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTYzNzk1NDQ@._V1_QL75_UY281_CR4,0,190,281_.jpg"
24,als de herinnering komt,Movie,"['Drama', 'Romance']",A couple falls in love and agrees to meet in six months at the Empire State Building - but will it happen?,"https://m.media-amazon.com/images/M/MV5BNDkxODc3MDE3NV5BMl5BanBnXkFtZTcwMzEyMzU3Mg@@._V1_QL75_UX190_CR0,1,190,281_.jpg"
