,Name,Description,Category,URL,Small_Image,Large_Image
0,Andere Tijden Sport,"Op de Olympische Spelen van Tokio in 1964 rijden vier Hollandse jongens naar wielergoud op de 100 km ploegentijdrit. Gerben Karstens, Bart Zoet, Eef Dolman en Jan Pieterse, allen uit Zuid-Holland.",Documentaires,https://www.npostart.nl/andere-tijden-sport/13-07-2008/NPS_1102423,/images/empty-placeholder.png,https://images.npo.nl/header/2560x1440/617431.jpg
1,Andere tijden special: 100 jaar Elfstedentocht,"Authentiek historisch beeldmateriaal van de 100-jarige Friese Elfstedentocht. Deels zijn dit de beelden van Polygoon, NTS en NOS daarnaast nooit eerder vertoonde beelden van amateurfilmers.",Documentaires,https://www.npostart.nl/andere-tijden-special-100-jaar-elfstedentocht/26-12-2009/NPS_1146221,/images/empty-placeholder.png,https://images.npo.nl/header/2560x1440/332148.jpg
2,Andere Tijden Sport,Opmerkelijke verhalen rond historische wintersporters. Jaren '80. Drie keer goud in Calgary 1988. Hoe alles klopte en Van Gennip afrekende met de doping-dames uit de DDR.,Documentaires,https://www.npostart.nl/andere-tijden-sport/03-01-2010/NPS_1148348,/images/empty-placeholder.png,https://images.npo.nl/header/2560x1440/357144.jpg
3,Oranje 1974,"‘Ik ben bijna helemaal los, die duizend munten zijn weg’, zegt een vindingrijke Nederlander op archiefbeeld uit 1974. Je leest de verbazing op zijn gezicht, als hij vertelt over de gouden munten die hij heeft laten slaan met het opschrift ‘Nederland Wereldkampioen 1974’. Omdat Nederland de finale verloren heeft, was hij bang te blijven zitten met zijn handel. Toch vliegen de munten de deur uit, ‘terwijl die van de andere finalist helemaal niet lopen’, aldus de verkoper. Tot zijn spijt moet hij bekennen dat de stempel die nodig is om de munten te drukken, reeds is vernietigd. In 1974 is het een nieuw fenomeen: de oranjegekte. Henny Cruijff, broer van Johan, trakteert sportverslaggever Theo Koomen voor het oog van de camera op een modeshow van door hem ontworpen oranje-mode: lang uitgevallen maar nauw sluitende voetbalshirts die als minirokken te dragen zijn. En zo is er meer. Nog tot het begin van het toernooi, zijn er weinig mensen die de verrichtingen van Oranje iets kan schelen. Nederland speelt voor het toernooi een oefenwedstrijd tegen Argentinië en Arie Haan spreekt zijn verbazing uit op televisie: ‘Als ik zeg tegen mensen: “Zondag is de wedstrijd tegen Argentinië, dan weet niemand waar ik het over heb”’. Kaartverkoper Han Stork heeft de ontwikkeling van de gekte van dichtbij meegemaakt. Het reisbureau waarvoor hij werkt is door de KNVB aangewezen tot officiële kaartverkooppunt voor het WK 1974. Naarmate de Nederlanders verder komen in het toernooi, neemt de belangstelling voor kaarten toe. Voor het toernooi is er nog weinig aan de hand, maar Stork komt al snel in de problemen. De vraag naar kaarten overstijgt het aanbod vele malen. Bussen vol supporters, uitgedost met oranje petjes, maar wel met de stropdas nog om, staan te wachten aan de grens (er is dan nog grenscontrole tussen Nederland en Duitsland). Met oranje vlaggen versierde treinen, afgeladen met uit het raam hangende supporters vertrekken van de Nederlandse stations. Het is voor het eerst dat het volk zo massaal achter het elftal aanreist. Van tevoren zijn de verwachtingen erg laag. Wel een beetje vreemd, als je bedenkt dat de Nederlandse clubs het in het begin van de jaren ’70 goed doen: Feyenoord wint in 1970 de Europacup voor landskampioenen en de wereldbeker, Ajax in 1971, 1972 en 1973 de Europacup en in ’72 de Europese Supercup en de wereldbeker. Het is dus niet zo dat de Nederlanders niet kunnen voetballen, maar het nationale team heeft tot dan toe nog nooit iets gepresteerd. ‘Niemand wist toch wat er te verwachten was’, zegt Eddy Poelmann, die zijn eerste WK als journalist bijwoonde. ‘Hoewel de Europacups van Ajax en Feyenoord achter de rug waren, had niemand enig idee over de internationale verhoudingen’, aldus Poelmann. Het is voor het eerst sinds 1938 dat Nederland meedoet aan een eindronde van het Wereldkampioenschap. Niemand verwacht eigenlijk dat ze zullen presteren. Maar het curieuze voetbal dat Nederland speelt, maakt indruk op iedereen. Wat Nederland onder leiding van trainer Rinus Michels en aanvoerder Johan Cruijff laat zien, is op dit niveau niet eerder vertoond. Totaalvoetbal, waarbij niet alleen de aanvallers meeverdedigen en de verdedigers ineens in de voorhoede kunnen opduiken, maar waarbij iedere speler op elke plek uit de voeten moet kunnen om daarmee een zo groot mogelijke verwarring te stichten bij de tegenstander. Die tegenstander weet inderdaad niet wat hij aanmoet met dit Nederlandse spel. Onbevangen als het is, speelt Nederland een ijzersterk toernooi. Onbevangen en onervaren, omdat deze generatie voetballers geen ervaring heeft met dit soort toernooien. Dit in tegenstelling tot bijvoorbeeld de Duitsers, die in 1966 in de finale stonden en in 1970 derde werden. Zij weten hoe je met de spanningen van een groot toernooi omgaat, voor de Nederlanders is alles nieuw. Goed, mannen als Johan Cruijff, Ruud Krol, Johan Neeskens, Wim van Hanegem, Wim Jansen, Arie Haan en Wim Rijsbergen hebben met hun clubs de voorgaande jaren al het een en ander beleefd, maar op een groot toernooi hebben ze nog nooit samen gespeeld.",Documentaires,https://www.npostart.nl/oranje-1974/20-04-2004/POMS_VPRO_215169,/images/empty-placeholder.png,https://images.npo.nl/header/2560x1440/4557.jpg
4,Andere Tijden Sport,"De wonderbaarlijke wederopstanding van Gerard van Velde. Goud op de 1000 meter in 2002, Salt Lake City. Aan de hand van de loopbaan van Van Velde schetsen we de opkomst van de klapschaats.",Documentaires,https://www.npostart.nl/andere-tijden-sport/14-02-2010/NPS_1154574,/images/empty-placeholder.png,https://images.npo.nl/header/2560x1440/357138.jpg
5,Mistwedstrijd,,Documentaires,https://www.npostart.nl/mistwedstrijd/07-12-2006/POMS_VPRO_215304,/images/empty-placeholder.png,https://images.npo.nl/header/2560x1440/4462.jpg
6,Andere Tijden Sport,"Over de gouden schaatsmeiden van de jaren zestig. Stien Kaiser, Carry Geijssen en Ans Schut. Ze werden aanvankelijk weggelachen en tegengewerkt, maar haalden goud, zilver, brons op het WK van '68.",Documentaires,https://www.npostart.nl/andere-tijden-sport/20-02-2010/NPS_1154576,/images/empty-placeholder.png,https://images.npo.nl/header/2560x1440/357136.jpg
7,Andere Tijden Sport,Opmerkelijke verhalen rond historische wintersporters. Jaren '80. Drie keer goud in Calgary 1988. Hoe alles klopte en Van Gennip afrekende met de doping-dames uit de DDR.,Documentaires,https://www.npostart.nl/andere-tijden-sport/22-02-2010/NPS_1154578,/images/empty-placeholder.png,https://images.npo.nl/header/2560x1440/357134.jpg
8,Andere Tijden Sport,"Jaren 70: De Zwitsers Franz Krienbühl was geliefd bij het Nederlandse publiek. Maar Krienbühl was meer dan een krabbelaar, hij is degene die de revolutionaire schaatspakken heeft uitgevonden.",Documentaires,https://www.npostart.nl/andere-tijden-sport/27-02-2010/NPS_1154580,/images/empty-placeholder.png,https://images.npo.nl/header/2560x1440/1835995.jpg
9,Andere Tijden,Direct betrokkenen over het Cruijff-effect in Andere Tijden Donderdagavond 21:25 op Nederland 2.,Documentaires,https://www.npostart.nl/andere-tijden/28-02-2008/POMS_VPRO_215239,/images/empty-placeholder.png,https://images.npo.nl/header/2560x1440/838330.jpg
10,Andere tijden,Cruijff werd deze week bij Ajax binnengehaald als degene die de club moet gaan redden. In 1981 keerde hij ook al terug bij Ajax. Geschiedenismagazine met reportages over gebeurtenissen uit de twintigste eeuw.,Documentaires,https://www.npostart.nl/andere-tijden/28-02-2008/NPS_1095269,/images/empty-placeholder.png,https://images.npo.nl/header/2560x1440/728240.jpg
11,Holland Doc,Theatermaakster Adelheid Roosen filmde haar dementerende moeder samen met de mensen die het dichtst bij haar staan. Centraal staat de vraag: Wanneer neem je de regie over het leven van iemand over?,Documentaires,https://www.npostart.nl/holland-doc/30-09-2010/POW_00243800,/images/empty-placeholder.png,https://images.npo.nl/header/2560x1440/5054.jpg
