,Name,Description,Category,URL,Small_Image,Large_Image,Tags
1,Andere tijden special: 100 jaar Elfstedentocht,"Authentiek historisch beeldmateriaal van de 100-jarige Friese Elfstedentocht. Deels zijn dit de beelden van Polygoon, NTS en NOS daarnaast nooit eerder vertoonde beelden van amateurfilmers.",Documentaires,https://www.npostart.nl/andere-tijden-special-100-jaar-elfstedentocht/26-12-2009/NPS_1146221,https://weserv.moviemeter.nl/?url=https://www.moviemeter.nl/images/cover/1144000/1144619.jpg?cb=1642177800,https://weserv.moviemeter.nl/?url=https://www.moviemeter.nl/images/cover/1144000/1144619.jpg?cb=1642177800,['Documentaire']
3,Oranje 1974,"‘Ik ben bijna helemaal los, die duizend munten zijn weg’, zegt een vindingrijke Nederlander op archiefbeeld uit 1974. Je leest de verbazing op zijn gezicht, als hij vertelt over de gouden munten die hij heeft laten slaan met het opschrift ‘Nederland Wereldkampioen 1974’. Omdat Nederland de finale verloren heeft, was hij bang te blijven zitten met zijn handel. Toch vliegen de munten de deur uit, ‘terwijl die van de andere finalist helemaal niet lopen’, aldus de verkoper. Tot zijn spijt moet hij bekennen dat de stempel die nodig is om de munten te drukken, reeds is vernietigd. In 1974 is het een nieuw fenomeen: de oranjegekte. Henny Cruijff, broer van Johan, trakteert sportverslaggever Theo Koomen voor het oog van de camera op een modeshow van door hem ontworpen oranje-mode: lang uitgevallen maar nauw sluitende voetbalshirts die als minirokken te dragen zijn. En zo is er meer. Nog tot het begin van het toernooi, zijn er weinig mensen die de verrichtingen van Oranje iets kan schelen. Nederland speelt voor het toernooi een oefenwedstrijd tegen Argentinië en Arie Haan spreekt zijn verbazing uit op televisie: ‘Als ik zeg tegen mensen: “Zondag is de wedstrijd tegen Argentinië, dan weet niemand waar ik het over heb”’. Kaartverkoper Han Stork heeft de ontwikkeling van de gekte van dichtbij meegemaakt. Het reisbureau waarvoor hij werkt is door de KNVB aangewezen tot officiële kaartverkooppunt voor het WK 1974. Naarmate de Nederlanders verder komen in het toernooi, neemt de belangstelling voor kaarten toe. Voor het toernooi is er nog weinig aan de hand, maar Stork komt al snel in de problemen. De vraag naar kaarten overstijgt het aanbod vele malen. Bussen vol supporters, uitgedost met oranje petjes, maar wel met de stropdas nog om, staan te wachten aan de grens (er is dan nog grenscontrole tussen Nederland en Duitsland). Met oranje vlaggen versierde treinen, afgeladen met uit het raam hangende supporters vertrekken van de Nederlandse stations. Het is voor het eerst dat het volk zo massaal achter het elftal aanreist. Van tevoren zijn de verwachtingen erg laag. Wel een beetje vreemd, als je bedenkt dat de Nederlandse clubs het in het begin van de jaren ’70 goed doen: Feyenoord wint in 1970 de Europacup voor landskampioenen en de wereldbeker, Ajax in 1971, 1972 en 1973 de Europacup en in ’72 de Europese Supercup en de wereldbeker. Het is dus niet zo dat de Nederlanders niet kunnen voetballen, maar het nationale team heeft tot dan toe nog nooit iets gepresteerd. ‘Niemand wist toch wat er te verwachten was’, zegt Eddy Poelmann, die zijn eerste WK als journalist bijwoonde. ‘Hoewel de Europacups van Ajax en Feyenoord achter de rug waren, had niemand enig idee over de internationale verhoudingen’, aldus Poelmann. Het is voor het eerst sinds 1938 dat Nederland meedoet aan een eindronde van het Wereldkampioenschap. Niemand verwacht eigenlijk dat ze zullen presteren. Maar het curieuze voetbal dat Nederland speelt, maakt indruk op iedereen. Wat Nederland onder leiding van trainer Rinus Michels en aanvoerder Johan Cruijff laat zien, is op dit niveau niet eerder vertoond. Totaalvoetbal, waarbij niet alleen de aanvallers meeverdedigen en de verdedigers ineens in de voorhoede kunnen opduiken, maar waarbij iedere speler op elke plek uit de voeten moet kunnen om daarmee een zo groot mogelijke verwarring te stichten bij de tegenstander. Die tegenstander weet inderdaad niet wat hij aanmoet met dit Nederlandse spel. Onbevangen als het is, speelt Nederland een ijzersterk toernooi. Onbevangen en onervaren, omdat deze generatie voetballers geen ervaring heeft met dit soort toernooien. Dit in tegenstelling tot bijvoorbeeld de Duitsers, die in 1966 in de finale stonden en in 1970 derde werden. Zij weten hoe je met de spanningen van een groot toernooi omgaat, voor de Nederlanders is alles nieuw. Goed, mannen als Johan Cruijff, Ruud Krol, Johan Neeskens, Wim van Hanegem, Wim Jansen, Arie Haan en Wim Rijsbergen hebben met hun clubs de voorgaande jaren al het een en ander beleefd, maar op een groot toernooi hebben ze nog nooit samen gespeeld.",Documentaires,https://www.npostart.nl/oranje-1974/20-04-2004/POMS_VPRO_215169,https://weserv.moviemeter.nl/?url=https://www.moviemeter.nl/images/cover/50000/50033.jpg?cb=1364499099,https://weserv.moviemeter.nl/?url=https://www.moviemeter.nl/images/cover/50000/50033.jpg?cb=1364499099,"['Komedie', 'Actie']"
5,Mistwedstrijd,,Documentaires,https://www.npostart.nl/mistwedstrijd/07-12-2006/POMS_VPRO_215304,/images/empty-placeholder.png,https://images.npo.nl/header/2560x1440/4462.jpg,[]
10,Andere tijden,Cruijff werd deze week bij Ajax binnengehaald als degene die de club moet gaan redden. In 1981 keerde hij ook al terug bij Ajax. Geschiedenismagazine met reportages over gebeurtenissen uit de twintigste eeuw.,Documentaires,https://www.npostart.nl/andere-tijden/28-02-2008/NPS_1095269,https://www.moviemeter.nl/series/images/photo/7000/7361.300.jpg?cb=1637500976,https://www.moviemeter.nl/series/images/photo/7000/7361.300.jpg?cb=1637500976,['25 seizoenen']
22,Holland Sport Special,De vijfde nacht van de wielerzesdaagse van Gent in 2006 was een zwarte nacht.,Documentaires,https://www.npostart.nl/holland-sport-special/20-12-2012/VPWON_1176471,https://images.npo.nl/tile/320x180/186955.jpg,https://images.npo.nl/tile/320x180/186955.jpg,"['Drama', 'Sciencefiction']"
24,Het Belgie van....,Vijf Belgische hoofdpersonen tonen hun vaderland aan ons. Ze nemen ons mee naar plekken en mensen die hen inspireren en koppelen hun biografisch verhaal aan wat er in België aan de hand is.,Documentaires,https://www.npostart.nl/het-belgie-van/POMS_S_VPRO_113400,https://images.npo.nl/tile/320x180/het_belgie_van_cdn_tile-1597406992.jpg,https://images.npo.nl/tile/320x180/het_belgie_van_cdn_tile-1597406992.jpg,"['Drama', 'Oorlog']"
25,NOS 60 jaar Oranje op tv,D.m.v. beelden uit het archief en verhalen van direct betrokkenen van toen en nu wordt de geschiedenis van het Koninklijk Huis in beeld gebracht. Als de troonopvolger zijn of haar verloving aankondigt is dat groot nieuws.,Documentaires,https://www.npostart.nl/nos-60-jaar-oranje-op-tv/09-08-2011/POW_00382511,https://images.npo.nl/tile/320x180/379134.jpg,https://images.npo.nl/header/2560x1440/379134.jpg,[]
26,Extreem leven,"Drie jaar lang woonde Natalie Righton (1976) in de hoofdstad Kabul en sprak ze met alle partijen in Afghanistan. Haar reisgenoot Ton Koene legde minutieus vast hoe ze omgaat met de precaire veiligheidssituatie in het land en met de moeilijkheden waar zij als vrouw tegenaan loopt. VPRO eindredacteur Stefanie de Brouwer smeedde de tientallen uren aan ruw materiaal tot een fascinerend relaas. We zien een onverschrokken westerse vrouw die zich voortdurend bewust is van haar kwetsbare positie en die, behoedzaam maar doelgericht, diep weet door te dringen in de Afghaanse samenleving.",Documentaires,https://www.npostart.nl/extreem-leven/POMS_S_VPRO_354401,https://images.npo.nl/tile/320x180/859728.jpg,https://images.npo.nl/tile/320x180/859728.jpg,"['Drama', 'Fantasy']"
27,Langs de grenzen van Turkije,"Bram Vermeulen reist langs de grenzen van Turkije. Met instortend Europa aan de ene kant en wankelende regimes in de Arabische wereld aan de andere kant, zal de Turkse invloed in deze regio’s groeien.",Documentaires,https://www.npostart.nl/langs-de-grenzen-van-turkije/VPWON_1264278,https://images.npo.nl/tile/320x180/Langs_de_grenzen_header_cdn_tile-1638545002.jpg,https://images.npo.nl/tile/320x180/Langs_de_grenzen_header_cdn_tile-1638545002.jpg,[]
28,De kinderen van Birnbaum,"Documentaire over het moedige echtpaar Birnbaum, Otto en Hennie. Tijdens de oorlog vingen zij kinderen op die zonder hun ouders in de kampen verbleven. Het echtpaar kwam als Duits-Joodse vluchteling naar Nederland.",Documentaires,https://www.npostart.nl/de-kinderen-van-birnbaum/04-05-2013/13act0405Kinderen,https://weserv.moviemeter.nl/?url=https://www.moviemeter.nl/images/cover/426000/426529.jpg?cb=1627713815,https://weserv.moviemeter.nl/?url=https://www.moviemeter.nl/images/cover/426000/426529.jpg?cb=1627713815,['Documentaire']
