,Name,Description,Category,URL,Small_Image,Large_Image
0,Wallace & Gromit,"Wallace en Gromit zijn aan vakantie toe. Maar waarheen? Als Wallace merkt dat de kaas op is heeft hij een geweldig idee: waarom gaan ze niet naar de maan, die is immers van kaas gemaakt.",Films,https://www.npostart.nl/wallace-gromit/14-12-2008/POW_00117300,/images/empty-placeholder.png,https://images.npo.nl/header/2560x1440/861999.jpg
1,Wallace & Gromit,"De pinguïn, de nieuwe huurder bij Wallace en Gromit thuis, heeft kwaad in de zin. Zit hij achter de diamantroof? Een vreemde technobroek moet Wallace op het goede pad brengen.",Films,https://www.npostart.nl/wallace-gromit/14-12-2008/POW_00117301,/images/empty-placeholder.png,https://images.npo.nl/header/2560x1440/862010.jpg
2,Wallace & Gromit,"Wallace wordt verliefd op Wendelien, de eigenaresse van een wolwinkel, en vindt voor haar een speciale wolscheermachine uit. Gromit heeft zo zijn bedenkingen.",Films,https://www.npostart.nl/wallace-gromit/21-12-2008/POW_00117302,/images/empty-placeholder.png,https://images.npo.nl/header/2560x1440/862012.jpg
3,Zappbios keuzefilm,"Assepoester wordt gekleineerd door haar stiefzussen Paris en Hilton, Roodkapje heeft een relatie met een boze wolf met imagoproblemen en prins Roderick van Oranje Nassaukade wordt uitgehuwelijkt.",Films,https://www.npostart.nl/zappbios-keuzefilm/01-01-2000/AT_2107609,/images/empty-placeholder.png,https://images.npo.nl/header/2560x1440/1105765.jpg
4,Wallace & Gromit,Engelse animatiefilm. Wallace en Gromit runnen een bakkerij. Vele bakkers in het dorp zijn al vermoord. Kunnen Wallace en Gromit aan die dans ontsnappen?,Films,https://www.npostart.nl/wallace-gromit/21-12-2008/POW_00180685,/images/empty-placeholder.png,https://images.npo.nl/header/2560x1440/862013.jpg
5,Zappbios,Pippi gaat toch maar niet met haar vader mee naar Taka-Tuka land. Op het laatste moment gooit kapitein Langkous nog een zak met goudstukken overboord. Boeven hebben dit gezien en willen de zak stelen.,Films,https://www.npostart.nl/zappbios/24-12-2008/POW_00118229,/images/empty-placeholder.png,https://images.npo.nl/header/2560x1440/991371.jpg
6,Sissi,"Op 16-jarige leeftijd ontmoet Sissi de keizer van Oostenrijk en worden ze verliefd op elkaar. Tegen de wens van zijn moeder in besluit de keizer met Sissi te trouwen, in plaats van met haar zus Nene.",Films,https://www.npostart.nl/sissi/25-12-2008/POW_00096114,/images/empty-placeholder.png,https://images.npo.nl/header/2560x1440/1647414.jpg
7,"Sissi, die junge Kaiserin","Sissi heeft het onbezorgde leventje moeten inruilen voor de strenge Weense hofetiquette. Maar dat aartshertogin Sophie zich met de opvoeding van Sissi's kind gaat bemoeien, gaat Sissi te ver.",Films,https://www.npostart.nl/sissi-die-junge-kaiserin/26-12-2008/POW_00096119,/images/empty-placeholder.png,https://images.npo.nl/header/2560x1440/1647394.jpg
8,Charlie & Lola specials,Specials over de avonturen van Charlie en Lola.,Films,https://www.npostart.nl/charlie-lola-specials/22-12-2008/POW_00190713,/images/empty-placeholder.png,https://images.npo.nl/header/2560x1440/691627.jpg
9,"Sissi, Schicksalsjahre einer Kaiserin",Franz Joseph en Sissi zijn noodgedwongen regelmatig lange tijd van elkaar gescheiden. Hij is bezig met staatszaken in Wenen en zij in Hongarije. Sissi ontvangt hier regelmatig graaf Andrasjin.,Films,https://www.npostart.nl/sissi-schicksalsjahre-einer-kaiserin/01-01-2009/POW_00096124,/images/empty-placeholder.png,https://images.npo.nl/header/2560x1440/1647457.jpg
10,Zappbios,"Het vrijgevochten meisje Mik bedenkt samen met haar deftige vriendje Amadeus een meesterlijk plan om aan geld te komen, zodat zij en haar oma niet hoeven te verhuizen.",Films,https://www.npostart.nl/zappbios/18-01-2009/POW_00109617,/images/empty-placeholder.png,https://images.npo.nl/header/2560x1440/651914.jpg
11,Zappbios,"Marie wordt gevangen gehouden in een toren, waar ze stro tot goud moet spinnen. Een klein mannetje schiet haar te hulp, maar als loon vraagt hij het eerstgeboren kind van Marie.",Films,https://www.npostart.nl/zappbios/24-01-2009/POW_00163673,/images/empty-placeholder.png,https://images.npo.nl/header/2560x1440/540343.jpg
12,Pippi Langkous speelfilms,"Pippi komt samen met haar aapje en haar paard in Villa Kakelbont wonen. Ze wordt vrienden met Tommy en Annika en vertelt spannende verhalen over haar vader, die kapitein is op een piratenschip.",Films,https://www.npostart.nl/pippi-langkous-speelfilms/26-12-2009/POW_00118231,https://images.npo.nl/tile/320x180/991370.jpg,https://images.npo.nl/header/2560x1440/991370.jpg
13,Zappbios,De dertienjarige Tobias voelt zich alleen. Zijn moeder heeft meer aandacht voor haar nieuwe vriend en zijn klasgenoten pesten hem. In de nieuwe buurman ziet Tobias een vaderfiguur.,Films,https://www.npostart.nl/zappbios/07-06-2009/POW_00097375,https://images.npo.nl/tile/320x180/654050.jpg,https://images.npo.nl/header/2560x1440/654050.jpg
14,Pippi Langkous speelfilms,De ouders van Tommy en Annika gaan zonder de kinderen op vakantie. Pippi belooft goed op ze te passen en ze geen moment alleen te laten. Maar dan krijgt Pippi per flessenpost een brief van haar vader.,Films,https://www.npostart.nl/pippi-langkous-speelfilms/27-12-2009/POW_00118230,https://images.npo.nl/tile/320x180/991373.jpg,https://images.npo.nl/header/2560x1440/991373.jpg
15,Zappbios,Tommy en Annika hebben genoeg van hun strenge opvoeding en besluiten weg te lopen. En wie kan er beter met ze meegaan dan Pippi. Al snel ontdekken ze dat het niet makkelijk is om een zwerver te zijn.,Films,https://www.npostart.nl/zappbios/27-12-2009/POW_00118228,https://images.npo.nl/tile/320x180/991372.jpg,https://images.npo.nl/header/2560x1440/991372.jpg
16,Zappbios,"De Serengeti in Tanzania is het thuisgebied van de verteller van dit bijzondere verhaal, de giraffe. Deze giraffe heeft, vanuit haar hoge positie een unieke kijk op het dierenleven op de vlakte.",Films,https://www.npostart.nl/zappbios/20-12-2009/EO_101156791,https://images.npo.nl/tile/320x180/812242.jpg,https://images.npo.nl/header/2560x1440/812242.jpg
17,Zappbios,"Een gruffalo? Wat is dat voor een beest? Vos, uil en slang hebben nog nooit van hem gehoord. Alleen muis weet hoe hij eruitziet. Maar dat hij er echt eentje zou tegenkomen had muis toch niet verwacht.",Films,https://www.npostart.nl/zappbios/02-04-2010/POW_00297384,https://images.npo.nl/tile/320x180/522247.jpg,https://images.npo.nl/header/2560x1440/522247.jpg
18,Oorlogswinter,"Tijdens de laatste, ijskoude winter van de Tweede Wereldoorlog beleeft de veertienjarige Michiel het avontuur van zijn leven als hij voor een ondergedoken Engelse soldaat moet zorgen.",Films,https://www.npostart.nl/oorlogswinter/25-12-2010/POW_00357482,https://images.npo.nl/tile/320x180/1311334.jpg,https://images.npo.nl/header/2560x1440/1311334.jpg
19,Zappbios,Wanneer Martin verhuist naar het kleine stadje Bellbach verandert er veel in zijn leven. Hij ontdekt zijn eerste liefde en de vuist van Olivier. Verwarrend allemaal.,Films,https://www.npostart.nl/zappbios/30-05-2010/POW_00264304,https://images.npo.nl/tile/320x180/772796.jpg,https://images.npo.nl/header/2560x1440/772796.jpg
20,Zappbios,"De plaatselijke fabriek gaat failliet en de Krokodillenbende zet alles op alles om hem open te houden. Ze ontdekken dat de fabriek gesaboteerd is, maar zijn ze nog op tijd om sluiting te voorkomen?",Films,https://www.npostart.nl/zappbios/02-01-2011/POW_00290409,https://images.npo.nl/tile/320x180/781101.jpg,https://images.npo.nl/header/2560x1440/781101.jpg
21,One Night Stand,Jos is vierendertig jaar oud en verstandelijk gehandicapt. Voor hem is het heel gewoon dat zijn moeder hem dag in dag uit helemaal verzorgt. Tot op een dag de routine wegvalt.,Films,https://www.npostart.nl/one-night-stand/21-11-2008/NPS_1116875,https://images.npo.nl/tile/320x180/1225248.jpg,https://images.npo.nl/header/2560x1440/1225248.jpg
22,Zappbios,"Hannes wil zich aansluiten bij de coolste jeugdgroep van de stad, de Krokodillen. Ook Kai wil zich aansluiten bij de groep, maar hij zit in een rolstoel.",Films,https://www.npostart.nl/zappbios/01-01-2011/POW_00290406,https://images.npo.nl/tile/320x180/578709.jpg,https://images.npo.nl/header/2560x1440/578709.jpg
23,Zappbios,"Als het prinsesje Rosa geboren is, worden alle dertien feeën uitgenodigd. Maar eentje is te laat en wordt niet meer toegelaten in het paleis. Daardoor is ze diep beledigd.",Films,https://www.npostart.nl/zappbios/06-08-2011/POW_00393028,https://images.npo.nl/tile/320x180/536860.jpg,https://images.npo.nl/header/2560x1440/536860.jpg
24,Zappbios,"In deze versie komt prins Leonhard als lakei verkleed bij stiefmoeder Therese op bezoek, om haar dochter voor het bal uit te nodigen. Stiefdochter Assepoester wordt heimelijk verliefd op de lakei.",Films,https://www.npostart.nl/zappbios/13-08-2011/POW_00393029,https://images.npo.nl/tile/320x180/540332.jpg,https://images.npo.nl/header/2560x1440/540332.jpg
25,Cloaca,"Vier oude studievrienden, Joep, Pieter, Tom en Maarten, zijn door omstandigheden tijdelijk op elkaar teruggeworpen. Even herleeft hun studententijd.",Films,https://www.npostart.nl/cloaca/29-06-2010/AVRO_1383169,https://images.npo.nl/tile/320x180/1015914.jpg,https://images.npo.nl/header/2560x1440/1015914.jpg
26,Telefilm,De 11-jarige Eva heeft genoeg van de spanningen thuis en besluit om weg te lopen. Als ze betrapt wordt in de tuin van de criminele buurman Brandsema neemt haar plan een onverwachte wending.,Films,https://www.npostart.nl/telefilm/12-02-2011/VPWON_1151771,https://images.npo.nl/tile/320x180/915234.jpg,https://images.npo.nl/header/2560x1440/915234.jpg
27,Zappbios,In het afgelegen dorpje Buijsrogge komt klusjesman Zieleman te werken. De 8-jarige Blanco heeft al snel door dat deze ogenschijnlijk simpele man over bijzondere gaven beschikt en roept zijn hulp in.,Films,https://www.npostart.nl/zappbios/05-02-2011/AVRO_1429113,https://images.npo.nl/tile/320x180/1100228.jpg,https://images.npo.nl/header/2560x1440/1100228.jpg
28,Film op 2,"François maakt zich klaar voor een nieuw jaar op een middelbare school in een moeilijke wijk, waar culturen en denkwijzen vaak met elkaar botsen.",Films,https://www.npostart.nl/film-op-2/03-10-2011/POW_00227894,/images/empty-placeholder.png,https://images.npo.nl/header/2560x1440/430177.jpg
29,Zappbios,"De Krokodillenbendekinderen zijn inmiddels jongeren geworden maar nog altijd met elkaar bevriend. Als er een ongeluk gebeurt en Frank voor zijn leven vecht, doen de vrienden alles om hem te helpen.",Films,https://www.npostart.nl/zappbios/26-10-2011/POW_00377853,/images/empty-placeholder.png,https://images.npo.nl/header/2560x1440/783522.jpg
30,Zappbios,Het is herfst en Lola ontdekt dat alles op school anders is dan voor de zomervakantie. Ze besluit een winterslaap te houden en pas onder haar bed vandaan te komen als de lente begonnen is.,Films,https://www.npostart.nl/zappbios/17-10-2011/POW_00190712,/images/empty-placeholder.png,https://images.npo.nl/header/2560x1440/664537.jpg
31,Zappbios,"Wickie is een slimme en vriendelijke Vikingjongen. Hij woont met zijn moeder Ylva en zijn vader Halvar in het Vikingdorp Flake, waar Halvar bekendstaat als de koppigste Vikingleider aller tijden.",Films,https://www.npostart.nl/zappbios/28-12-2011/POW_00442465,/images/empty-placeholder.png,https://images.npo.nl/header/2560x1440/989704.jpg
32,De mooiste sprookjes,"Niemand neemt Max serieus, zelfs de geit spot met hem. Daarom besluit hij de wereld in te trekken, net zoals zijn oudere broers.",Films,https://www.npostart.nl/de-mooiste-sprookjes/07-01-2012/POW_00448318,https://images.npo.nl/tile/320x180/653976.jpg,https://images.npo.nl/header/2560x1440/653976.jpg
33,Sunset from a rooftop,Terwijl Belgrado door NAVO -bombardementen wordt geteisterd maakt Ivana zich op voor een feestje van haar vriend Mattej. Samen met haar vriendin Shekki besluit ze dat ze die avond het goede nieuws van haar zojuist ontdekte zwangerschap aan haar vriend zal vertellen. (Winnaar Gouden Kalf 2009),Films,https://www.npostart.nl/sunset-from-a-rooftop/28-09-2009/WO_NTR_595165,https://images.npo.nl/tile/320x180/1382645.jpg,https://images.npo.nl/header/2560x1440/1382645.jpg
34,One Night Stand,"De eenzame Marianne vindt een zwijgende man. Ze laat hem toe in haar huis en in haar hart, maar als ze eenmaal het geluk geproefd heeft, weigert ze het te laten gaan.",Films,https://www.npostart.nl/one-night-stand/18-12-2009/NPS_1143990,https://images.npo.nl/tile/320x180/1467822.jpg,https://images.npo.nl/header/2560x1440/1467822.jpg
35,De mooiste sprookjes,De keizer laat zijn volk stikken en is alleen met zichzelf bezig. Jakob doet zich voor als wever en belooft de keizer de mooiste kleren voor zijn verjaardag in ruil voor onderdak en een beloning.,Films,https://www.npostart.nl/de-mooiste-sprookjes/20-02-2012/POW_00448319,https://images.npo.nl/tile/320x180/492747.jpg,https://images.npo.nl/header/2560x1440/492747.jpg
