Name,Description,Category,URL,Small_Image,Large_Image,Tags
Wallace & Gromit,Engelse animatiefilm. Wallace en Gromit runnen een bakkerij. Vele bakkers in het dorp zijn al vermoord. Kunnen Wallace en Gromit aan die dans ontsnappen?,Films,https://www.npostart.nl/wallace-gromit/21-12-2008/POW_00180685,https://weserv.moviemeter.nl/?url=https://www.moviemeter.nl/images/cover/25000/25422.jpg?cb=1599224466,https://weserv.moviemeter.nl/?url=https://www.moviemeter.nl/images/cover/25000/25422.jpg?cb=1599224466,"['Animatie', 'Komedie']"
Sissi,"Op 16-jarige leeftijd ontmoet Sissi de keizer van Oostenrijk en worden ze verliefd op elkaar. Tegen de wens van zijn moeder in besluit de keizer met Sissi te trouwen, in plaats van met haar zus Nene.",Films,https://www.npostart.nl/sissi/25-12-2008/POW_00096114,https://weserv.moviemeter.nl/?url=https://www.moviemeter.nl/images/cover/1000/1177.jpg?cb=1368266314,https://weserv.moviemeter.nl/?url=https://www.moviemeter.nl/images/cover/1000/1177.jpg?cb=1368266314,"['Drama', 'Romantiek']"
"Sissi, die junge Kaiserin","Sissi heeft het onbezorgde leventje moeten inruilen voor de strenge Weense hofetiquette. Maar dat aartshertogin Sophie zich met de opvoeding van Sissi's kind gaat bemoeien, gaat Sissi te ver.",Films,https://www.npostart.nl/sissi-die-junge-kaiserin/26-12-2008/POW_00096119,https://weserv.moviemeter.nl/?url=https://www.moviemeter.nl/images/cover/1000/1178.jpg?cb=1514368142,https://weserv.moviemeter.nl/?url=https://www.moviemeter.nl/images/cover/1000/1178.jpg?cb=1514368142,"['Drama', 'Historisch']"
Charlie & Lola specials,Specials over de avonturen van Charlie en Lola.,Films,https://www.npostart.nl/charlie-lola-specials/22-12-2008/POW_00190713,https://weserv.moviemeter.nl/?url=https://www.moviemeter.nl/images/cover/20000/20539.jpg?cb=1395480070,https://weserv.moviemeter.nl/?url=https://www.moviemeter.nl/images/cover/20000/20539.jpg?cb=1395480070,"['Misdaad', 'Drama']"
"Sissi, Schicksalsjahre einer Kaiserin",Franz Joseph en Sissi zijn noodgedwongen regelmatig lange tijd van elkaar gescheiden. Hij is bezig met staatszaken in Wenen en zij in Hongarije. Sissi ontvangt hier regelmatig graaf Andrasjin.,Films,https://www.npostart.nl/sissi-schicksalsjahre-einer-kaiserin/01-01-2009/POW_00096124,https://weserv.moviemeter.nl/?url=https://www.moviemeter.nl/images/cover/1000/1179.jpg?cb=1514368152,https://weserv.moviemeter.nl/?url=https://www.moviemeter.nl/images/cover/1000/1179.jpg?cb=1514368152,"['Drama', 'Historisch']"
Pippi Langkous speelfilms,De ouders van Tommy en Annika gaan zonder de kinderen op vakantie. Pippi belooft goed op ze te passen en ze geen moment alleen te laten. Maar dan krijgt Pippi per flessenpost een brief van haar vader.,Films,https://www.npostart.nl/pippi-langkous-speelfilms/27-12-2009/POW_00118230,https://images.npo.nl/tile/320x180/991373.jpg,https://images.npo.nl/tile/320x180/991373.jpg,"['Familie', 'Muziek']"
Oorlogswinter,"Tijdens de laatste, ijskoude winter van de Tweede Wereldoorlog beleeft de veertienjarige Michiel het avontuur van zijn leven als hij voor een ondergedoken Engelse soldaat moet zorgen.",Films,https://www.npostart.nl/oorlogswinter/25-12-2010/POW_00357482,https://images.npo.nl/tile/320x180/1311334.jpg,https://images.npo.nl/tile/320x180/1311334.jpg,"['Oorlog', 'Avontuur']"
Cloaca,"Vier oude studievrienden, Joep, Pieter, Tom en Maarten, zijn door omstandigheden tijdelijk op elkaar teruggeworpen. Even herleeft hun studententijd.",Films,https://www.npostart.nl/cloaca/29-06-2010/AVRO_1383169,https://images.npo.nl/tile/320x180/1015914.jpg,https://images.npo.nl/tile/320x180/1015914.jpg,"['Drama', 'Komedie']"
Sunset from a rooftop,Terwijl Belgrado door NAVO -bombardementen wordt geteisterd maakt Ivana zich op voor een feestje van haar vriend Mattej. Samen met haar vriendin Shekki besluit ze dat ze die avond het goede nieuws van haar zojuist ontdekte zwangerschap aan haar vriend zal vertellen. (Winnaar Gouden Kalf 2009),Films,https://www.npostart.nl/sunset-from-a-rooftop/28-09-2009/WO_NTR_595165,https://images.npo.nl/tile/320x180/1382645.jpg,https://images.npo.nl/tile/320x180/1382645.jpg,['Drama']
NTR Kort!: De maan is kapot,Een vader probeert zijn tegenstribbelende zoontje in bed te krijgen. Dit leidt tot een wervelende reis naar de halve (kapotte) maan. Op de maan komen vader en zoon mama tegen.,Films,https://www.npostart.nl/ntr-kort-de-maan-is-kapot/26-06-2012/NPS_1209020,https://images.npo.nl/tile/320x180/1015262.jpg,https://images.npo.nl/tile/320x180/1015262.jpg,"['Drama', 'Fantasy']"
One Night Stand: Cabo,De ambitieuze Kaapverdiaan Artur studeert medicijnen en heeft een leuke Nederlandse vriendin. Arturs succesvolle leven blijkt echter deels façade als hij bezoek krijgt van een mysterieuze Afrikaan.,Films,https://www.npostart.nl/one-night-stand-cabo/21-12-2012/NPS_1215671,https://images.npo.nl/tile/320x180/1461357.jpg,https://images.npo.nl/tile/320x180/1461357.jpg,['Drama']
Smoorverliefd,"Romantische komedie over het turbulente leven van vier sterke vrouwen: tienerdochter Eva, haar moeder Judith, tante Barbara en grote zus Michelle, samen onder een dak, op zoek naar 'love, peace, en happiness'.",Films,https://www.npostart.nl/smoorverliefd/13-07-2013/NPS_1227937,https://weserv.moviemeter.nl/?url=https://www.moviemeter.nl/images/cover/87000/87804.jpg?cb=1387105374,https://weserv.moviemeter.nl/?url=https://www.moviemeter.nl/images/cover/87000/87804.jpg?cb=1387105374,"['Komedie', 'Romantiek']"
Stille Nacht,Een groep Utrechtse studentes gaat op jacht naar de serieverkrachter die deze stad onveilig maakt.,Films,https://www.npostart.nl/stille-nacht/07-08-2013/AVRO_1629295,https://weserv.moviemeter.nl/?url=https://www.moviemeter.nl/images/cover/22000/22288.jpg?cb=1575574709,https://weserv.moviemeter.nl/?url=https://www.moviemeter.nl/images/cover/22000/22288.jpg?cb=1575574709,"['Drama', 'Thriller']"
Mega Mindy en de snoepbaron,Mieke wil Toby voor zich winnen met behulp van een liefdesdrankje van Opa. Maar het drankje wordt gestolen én Oma Fonkel wordt ontvoerd. Al snel blijkt dat snoepfabrikant Louis hier achter zit.,Films,https://www.npostart.nl/mega-mindy-en-de-snoepbaron/12-10-2013/POW_00627886,https://weserv.moviemeter.nl/?url=https://www.moviemeter.nl/images/cover/78000/78802.jpg?cb=1380060907,https://weserv.moviemeter.nl/?url=https://www.moviemeter.nl/images/cover/78000/78802.jpg?cb=1380060907,['Familie']
K3: Bengeltjes,"Karen, Kristel en Josje zijn door het dolle heen, want hun drie nichtjes logeren een weekendje in hun appartement. Maar al snel blijkt dat de nichtjes ettertjes zijn, die de boel op stelten zetten.",Films,https://www.npostart.nl/k3-bengeltjes/19-10-2013/POW_00627885,https://weserv.moviemeter.nl/?url=https://www.moviemeter.nl/images/cover/87000/87195.jpg?cb=1362771646,https://weserv.moviemeter.nl/?url=https://www.moviemeter.nl/images/cover/87000/87195.jpg?cb=1362771646,['Familie']
NTR Kort!: Show me love,Na een hevige ruzie met haar ouders loopt Alize weg. Ze verstopt zich op het kleine parkeerplaatsje voor haar huis en observeert haar ouders die denken dat hun dochter vermist is en in paniek raken.,Films,https://www.npostart.nl/ntr-kort-show-me-love/20-04-2013/NPS_1223291,https://images.npo.nl/tile/320x180/Show_Me_Love_cdn_tile-1590107549.jpg,https://images.npo.nl/tile/320x180/Show_Me_Love_cdn_tile-1590107549.jpg,['Drama']
Zappbios Kort: Munya in mij,De zware Munya van tien probeert op haar route naar de Turkse supermarkt tevergeefs het bankje met pesters te ontwijken. En dan heeft ze ook nog eens een moeder die het haar niet makkelijk maakt.,Films,https://www.npostart.nl/zappbios-kort-munya-in-mij/04-01-2014/VPWON_1201013,https://images.npo.nl/tile/320x180/1268010.jpg,https://images.npo.nl/tile/320x180/1268010.jpg,['Animatie']
Zappbios Kort,"Hoewel zijn vader altijd zegt dat met carnaval alles mag en Tygo ervan droomt om bij de majorettes te gaan, toont zijn vader hem tegelijkertijd dat je zelfs met carnaval te ver kunt gaan.",Films,https://www.npostart.nl/zappbios-kort/31-12-2013/VPWON_1201014,https://images.npo.nl/tile/320x180/1060987.jpg,https://images.npo.nl/tile/320x180/1060987.jpg,"['Drama', 'Mystery']"
Film op 2,"Tussenstand is een onconventionele speelfilm over liefde, eenzaamheid en het onvermogen tot communiceren. Deze film van Mijke de Jong werd bekroond met drie Gouden Kalveren waaronder die van beste actrice voor de hoofdrol van Elsie de Brauw. Als hun zeventienjarige zoon zich terugtrekt in een stilzwijgend isolement, probeert een voormalig stel het contact met elkaar en hun zoon te herstellen. Maar de gesprekken tussen de twee worden alleen maar harder en heftiger, en lopen stuk op frustraties uit het verleden en het onvermogen naar elkaar te luisteren. Terwijl de ouders zich verliezen in eindeloos verbaal geweld, trekt de zoon zich terug in stilte. Tussenstand laat de wereld van het lawaai botsen met de wereld van het zwijgen. En maakt voelbaar hoe er langzamerhand iets verschuift in de relatie tussen de drie familieleden die zich zo nauw verbonden voelen maar elkaar toch amper kunnen bereiken. Scenario: Mijke de Jong en Jolein Laarman Regie: Mijke de Jong Producent: Lemming Film, Joost de Vries en Leontine Petit Met: Marcel Musters, Elsie de Brauw, Jeroen Willems, Joan Nederlof, Shireen Strooker, Stijn Koomen, Jennifer St. Jago Mede mogelijk gemaakt door een bijdrage van Stichting Co-productiefonds Binnenlandse Omroep, Nederlands Fonds voor de Film en het Mediafonds.",Films,https://www.npostart.nl/film-op-2/21-09-2013/VPWON_1162671,https://images.npo.nl/tile/320x180/914638.jpg,https://images.npo.nl/tile/320x180/914638.jpg,['Documentaire']
Zappbios kort: Bounty,"Tako, een geadopteerde jongen, die opgroeit bij twee lesbische moeders, weet niet wie zijn vader is en fantaseert er op los over wie zijn vader zou kunnen zijn. Opeens weet hij het zeker: het is kleine Viezerik. Volgens twee pestkoppen op school zou de populaire rapper nooit vader willen zijn van een Bounty: zwart van buiten en wit van binnen. Voordat Tako zijn gedroomde vader onder ogen kan komen, krijgt hij een spoedcursus Surinamer worden.",Films,https://www.npostart.nl/zappbios-kort-bounty/26-01-2014/AVRO_1660235,https://images.npo.nl/tile/320x180/1339680.jpg,https://images.npo.nl/tile/320x180/1339680.jpg,['Thriller']
Kom niet aan mijn kinderen,Nederlands filmdrama over het waargebeurde verhaal van de ontvoering van de twee kinderen van Janneke Schoonhoven.,Films,https://www.npostart.nl/kom-niet-aan-mijn-kinderen/POMS_S_KRO_3888347,https://images.npo.nl/tile/320x180/komnietaanmijnkinderen_cdn_tile-1590094806.jpg,https://images.npo.nl/tile/320x180/komnietaanmijnkinderen_cdn_tile-1590094806.jpg,['Drama']
De uitverkorene,"Over het softwarebedrijf van de diepgelovige broers Johan en Peter. Als een directeur het aanlegt met Johans dochter, ontstaat er een onontwarbare knot van zakenbelangen, privézaken en het geloof.",Films,https://www.npostart.nl/de-uitverkorene/04-09-2014/WO_VPRO_621280,https://images.npo.nl/tile/320x180/681657.jpg,https://images.npo.nl/tile/320x180/681657.jpg,['Drama']
Greifensee,Wat begint en eindigt als een niks-aan-de-hand vakantieuitje op een Zwitsers bergmeer is tussen de regels door een regelrecht drama tussen een moeder en haar jonge dochter.,Films,https://www.npostart.nl/greifensee/28-09-2014/POMS_NTR_16102124,https://images.npo.nl/tile/320x180/1382653.jpg,https://images.npo.nl/tile/320x180/1382653.jpg,['Drama']
Sunny Side Up,Thriller. Ieder jaar wordt er op een van de Nederlandse Waddeneilanden het eeuwenoude mysterieuze Sunderum-feest gevierd. Niet-eilanders moeten het eiland verlaten; er zijn geen pottenkijkers gewenst.,Films,https://www.npostart.nl/sunny-side-up/17-01-2015/BNN_101373473,https://images.npo.nl/tile/320x180/935748.jpg,https://images.npo.nl/tile/320x180/935748.jpg,['Thriller']
Zero Dark Thirty,"Het verhaal over de jacht op Osama Bin Laden, waarbij de nadruk wordt gelegd op de tijd in de aanloop naar zijn dood in Pakistan.",Films,https://www.npostart.nl/zero-dark-thirty/27-02-2015/POW_00627232,https://images.npo.nl/tile/320x180/646873.jpg,https://images.npo.nl/tile/320x180/646873.jpg,['Thriller']
Undercover,Politieagente Nurgül Ozdemir werkt in een kleine provinciestad als ze opdracht krijgt te infiltreren in de Turkse maffia. Ze krijgt de sleutelrol in een operatie om een Turkse drugsbende op te pakken.,Films,https://www.npostart.nl/undercover/24-01-2015/KN_1666411,https://images.npo.nl/tile/320x180/645562.jpg,https://images.npo.nl/tile/320x180/645562.jpg,"['Drama', 'Misdaad']"
Escort,Chantal is af en toe escort. Op een dag vraagt miljonair Jacobsen of ze met hem wil trouwen. Hij heeft nog een half jaar te leven. Chantal is zijn enige erfgenaam. Het huwelijk wordt een nachtmerrie.,Films,https://www.npostart.nl/escort/20-06-2015/VARA_101375086,https://images.npo.nl/tile/320x180/652124.jpg,https://images.npo.nl/tile/320x180/652124.jpg,['Thriller']
A royal affair,Deens filmdrama. Prinses Caroline Mathilde wordt op jonge leeftijd uitgehuwelijkt aan de schizofrene Deense koning Christian VII. Ze begint een verhouding met de hofarts.,Films,https://www.npostart.nl/a-royal-affair/04-07-2015/POW_00684018,https://images.npo.nl/tile/320x180/1647468.jpg,https://images.npo.nl/tile/320x180/1647468.jpg,"['Drama', 'Historisch']"
Het Schnitzelparadijs,"Komedie over de Marokkaanse Nordip, die na zijn eindexamen zijn leven in eigen hand neemt en zich daarbij nogal in de nesten werkt.",Films,https://www.npostart.nl/het-schnitzelparadijs/18-04-2015/VPWON_1241512,https://images.npo.nl/tile/320x180/1069862.jpg,https://images.npo.nl/tile/320x180/1069862.jpg,"['Komedie', 'Romantiek']"
Cop vs Killer,"Vier dagen en nachten uit het leven van een meedogenloze crimineel, op wie door iedereen jacht wordt gemaakt. Mirko Narain moet anderen vermoorden om zelf in leven te blijven.",Films,https://www.npostart.nl/cop-vs-killer/01-10-2015/AT_2044371,https://images.npo.nl/tile/320x180/656041.jpg,https://images.npo.nl/tile/320x180/656041.jpg,"['Misdaad', 'Thriller']"
American hustle,Filmdrama over de befaamde Abscam undercoveroperatie van de FBI eind jaren 70.,Films,https://www.npostart.nl/american-hustle/04-03-2016/POW_00963982,https://images.npo.nl/tile/320x180/719798.jpg,https://images.npo.nl/tile/320x180/719798.jpg,"['Komedie', 'Misdaad']"
"Like father, like son",Na een schokkend bericht te hebben gekregen wordt de succesvolle zakenman Ryota gedwongen een levensveranderende beslissing te nemen.,Films,https://www.npostart.nl/like-father-like-son/23-04-2016/POW_01002942,https://weserv.moviemeter.nl/?url=https://www.moviemeter.nl/images/cover/69000/69335.jpg?cb=1623318888,https://weserv.moviemeter.nl/?url=https://www.moviemeter.nl/images/cover/69000/69335.jpg?cb=1623318888,"['Misdaad', 'Drama']"
Hope,De ambitieuze econome Hannah Binnekamp krijgt in haar strijd tegen de financiële wereld in New York hulp van haar minnaar. Totdat juist hij de tegenstander blijkt waarmee ze zal moeten afrekenen.,Films,https://www.npostart.nl/hope/24-04-2016/VPWON_1251419,https://images.npo.nl/tile/320x180/738263.jpg,https://images.npo.nl/tile/320x180/738263.jpg,"['Drama', 'Romantiek']"
Philomena,"Het waargebeurde verhaal van Philomena Lee, die als tiener haar buitenechtelijke zoontje ter adoptie moest afstaan op aandringen van de Iers-Katholieke gemeenschap waarin ze woonde.",Films,https://www.npostart.nl/philomena/15-05-2016/POW_00963984,https://images.npo.nl/tile/320x180/729864.jpg,https://images.npo.nl/tile/320x180/729864.jpg,"['Drama', 'Biografie']"
Fake,Een romantische misdaadkomedie over een overval op een kunstbeurs.,Films,https://www.npostart.nl/fake/08-05-2016/AT_2053213,https://images.npo.nl/tile/320x180/809076.jpg,https://images.npo.nl/tile/320x180/809076.jpg,"['Romantiek', 'Komedie']"
Nebraska,Amerikaanse tragikomische roadmovie over familieleven in America's Heartland.,Films,https://www.npostart.nl/nebraska/09-07-2016/POW_00786456,https://images.npo.nl/tile/320x180/770740.jpg,https://images.npo.nl/tile/320x180/770740.jpg,"['Drama', 'Roadmovie']"
Nooit te Oud,"De eigenzinnige, licht dementerende Marius Koolman wordt opgenomen in zorgcentrum Voorstaete omdat hij niet meer voor zichzelf kan zorgen.",Films,https://www.npostart.nl/nooit-te-oud/19-06-2016/POW_03227631,https://images.npo.nl/tile/320x180/757599.jpg,https://images.npo.nl/tile/320x180/757599.jpg,['Drama']
Zappbios: Belle en Sebastiaan,"Ontroerende film over de vriendschap tussen Sebastiaan en zijn hond Belle. Wanneer de Duitsers het dorpje waar Sebastiaan woont bezetten, breekt er voor Sebastiaan en Belle een spannende tijd aan.",Films,https://www.npostart.nl/zappbios-belle-en-sebastiaan/26-12-2016/POW_00786416,https://images.npo.nl/tile/320x180/1385819.jpg,https://images.npo.nl/tile/320x180/1385819.jpg,"['Avontuur', 'Familie']"
Avond van de Korte Film 2016,De televisie-première van de tien KORT!-films die in 2015 tijdens het Nederlands Filmfestival in première gingen.,Films,https://www.npostart.nl/avond-van-de-korte-film-2016/30-09-2016/VPWON_1265344,https://images.poms.omroep.nl/image/s320/c320x180/1011995.jpg,https://images.poms.omroep.nl/image/s320/c320x180/1011995.jpg,"['Drama', 'Komedie']"
Coach,De welgestelde Suzanne voelt zich schuldig over haar luxe bestaan en geeft zich op voor het project Coach. Ze helpt hiermee de Marokkaanse jongen Soukri.,Films,https://www.npostart.nl/coach/31-12-2016/VARA_101382079,https://images.npo.nl/tile/320x180/847867.jpg,https://images.npo.nl/tile/320x180/847867.jpg,"['Drama', 'Komedie']"
Still Alice,Alice Howland is een 50-jarige docent taalkunde aan de Harvard-universiteit. Op het hoogtepunt van haar carrière krijgt ze te maken met het verval van haar geheugen.,Films,https://www.npostart.nl/still-alice/06-01-2017/POW_02963812,https://images.npo.nl/tile/320x180/848661.jpg,https://images.npo.nl/tile/320x180/848661.jpg,['Drama']
Mike de ridder specials,"Mike de ridder gaat op pad voor een spannende missie, waarbij hij een lastige puzzel op moet zien te lossen.",Films,https://www.npostart.nl/mike-de-ridder-specials/01-01-2017/POW_03217640,https://images.npo.nl/tile/320x180/691580.jpg,https://images.npo.nl/tile/320x180/691580.jpg,"['Animatie', 'Familie']"
Nieuwe film:,Een broeierig en ontroerend liefdesdrama met een licht komische toon dat het verhaal vertelt van Pepijn en Sjors.,Films,https://www.npostart.nl/nieuwe-film/06-11-2016/VPWON_1258000,https://weserv.moviemeter.nl/?url=https://www.moviemeter.nl/images/cover/106000/106498.jpg?cb=1502570389,https://weserv.moviemeter.nl/?url=https://www.moviemeter.nl/images/cover/106000/106498.jpg?cb=1502570389,['Documentaire']
Cornea,"Thomas is een 40-jarige man die zijn ex-vrouw achtervolgt. Zeventien jaar lang hebben ze een relatie gehad, maar Thomas lijkt de toekomst zonder haar niet te aanvaarden.",Films,https://www.npostart.nl/cornea/03-12-2016/VPWON_1226704,https://images.npo.nl/tile/320x180/935750.jpg,https://images.npo.nl/tile/320x180/935750.jpg,"['Drama', 'Thriller']"
Zappbios: Operatie Noordpool,Julia en haar broertje en zusje Sindre en Ida worden per ongeluk alleen achtergelaten op het verlaten eiland Spitsbergen in de Arctische Oceaan. Er ontstaat een spannend gevecht om te overleven.,Films,https://www.npostart.nl/zappbios-operatie-noordpool/26-02-2017/POW_01079360,https://images.npo.nl/tile/320x180/871437.jpg,https://images.npo.nl/tile/320x180/871437.jpg,"['Familie', 'Avontuur']"
Silk Road,Daphne leert langzaam de geheime wereld kennen van haar mysterieuze buurjongen Raymond. Ze wordt verliefd. Maar wie kan je echt vertrouwen op het deep dark web?,Films,https://www.npostart.nl/silk-road/29-03-2017/KN_1689509,https://images.npo.nl/tile/320x180/1552239.jpg,https://images.npo.nl/tile/320x180/1552239.jpg,"['Misdaad', 'Drama']"
Het Bestand,De hoogbegaafde hacker Lillian gaat bij een cybersecuritybedrijf werken om toegang te krijgen tot de bank waar haar overleden vader werkte. Ze ontdekt er dat niets is wat het lijkt.,Films,https://www.npostart.nl/het-bestand/19-04-2017/VARA_101383415,https://images.npo.nl/tile/320x180/886856.jpg,https://images.npo.nl/tile/320x180/886856.jpg,['Thriller']
