,Name,Description,Category,URL,Small_Image,Large_Image,Tags
4,Koude Oorlog in de klas,In vijf korte afleveringen wordt het verloop van de Koude Oorlog verteld. Van het IJzeren Gordijn tot aan de wapenwedloop.,Programmas,https://www.npostart.nl/koude-oorlog-in-de-klas/POMS_S_NTR_16851887,https://weserv.moviemeter.nl/?url=https://www.moviemeter.nl/images/cover/89000/89220.jpg?cb=1382447569,https://weserv.moviemeter.nl/?url=https://www.moviemeter.nl/images/cover/89000/89220.jpg?cb=1382447569,['Documentaire']
5,Vergeten Helden,In dit drieluik duiken we in het leven van heldhaftige strijders uit de drie voormalige Nederlandse koloniën die zich tijdens de Tweede Wereldoorlog aansloten bij het verzet.,Programmas,https://www.npostart.nl/vergeten-helden/POW_05307827,/images/tile-placeholder.png,https://images.npo.nl/header/2560x1440/SL_Vergeten_Helden_Jo_rgen_Tjon_cdn_header-1650357343.png,[]
6,Meer dan 35 jaar Songfestival,"Op 16 mei 2019 vertegenwoordigt Duncan Laurence Nederland op het Eurovisie Songfestival in Tel Aviv met het liedje 'Arcade'. Na jaren waarin bekende Nederlandse artiesten hebben opgetreden op het grootste podium van Europa, is de keuze nu gevallen op deze nog vrij onbekende jongeman uit Hellevoetsluis. Wie is Duncan en wat maakt hij mee tijdens zijn voorbereidingen op Tel Aviv?",Programmas,https://www.npostart.nl/meer-dan-35-jaar-songfestival/AT_300006547,https://weserv.moviemeter.nl/?url=https://www.moviemeter.nl/images/cover/1124000/1124970.jpg?cb=1558005073,https://weserv.moviemeter.nl/?url=https://www.moviemeter.nl/images/cover/1124000/1124970.jpg?cb=1558005073,"['Documentaire', 'Muziek']"
7,Kaarsje voor Oekraïne,"Hoe Nederland solidair is met Oekraïne. Initiatieven uit het land staan centraal. Kinderen worden opgevangen in gastgezinnen, vrijwilligers reizen naar de grens en in kerken worden kaarsen opgestoken.",Programmas,https://www.npostart.nl/kaarsje-voor-oekraine/POMS_S_KN_16834433,https://weserv.moviemeter.nl/?url=https://www.moviemeter.nl/images/cover/1123000/1123076.jpg?cb=1596722008,https://weserv.moviemeter.nl/?url=https://www.moviemeter.nl/images/cover/1123000/1123076.jpg?cb=1596722008,['Documentaire']
8,Samen in actie voor Oekraine,"Als een brandende oliewagen met volle snelheid richting Piekepolder rijdt, is Brandweerman Sam direct klaar voor een gedurfde reddingsactie. Mandy en Sarah filmen zijn redding en plaatsen het op hun nieuwe website Piekepolder Online. De video van Sams heldendaad gaat viraal en wordt ook opgemerkt door een beroemde Hollywood regisseur. Hij wil dat Sam de hoofdrol gaat spelen in zijn nieuwe film. Alleen wil de jaloerse tegenspeler van Sam, deze rol ook en hij heeft er alles voor over om het van Sam af te pakken.",Programmas,https://www.npostart.nl/samen-in-actie-voor-oekraine/SamenOekraine,https://weserv.moviemeter.nl/?url=https://www.moviemeter.nl/images/cover/1120000/1120938.jpg?cb=1544342333,https://weserv.moviemeter.nl/?url=https://www.moviemeter.nl/images/cover/1120000/1120938.jpg?cb=1544342333,"['Animatie', 'Familie']"
9,Vrede is voor iedereen,Vanuit de Domkerk een live-uitzending voor vrede in Oekraïne. Bezoekers steken kaarsen op. De protestantse scriba De Reuver en de katholieke bisschop De Korte gaan voor in gebed voor recht en vrede.,Programmas,https://www.npostart.nl/vrede-is-voor-iedereen/POMS_S_KN_16832632,/images/tile-placeholder.png,https://images.npo.nl/header/2560x1440/1676447.jpg,[]
10,Pauw - De macht en het vertrouwen,Het vertrouwen in onze politici en bestuurders was nog nooit zo laag. Hoe komt dit? Aan de vooravond van de gemeenteraadsverkiezingen praat Jeroen Pauw met verschillende ministers.,Programmas,https://www.npostart.nl/pauw-de-macht-en-het-vertrouwen/POMS_S_BV_16831451,https://www.moviemeter.nl/series/images/photo/8000/8169.300.jpg?cb=1652110158,https://www.moviemeter.nl/series/images/photo/8000/8169.300.jpg?cb=1652110158,['1 seizoen']
11,Cultuurbooster,"COVID-19 lijkt bijna achter ons te liggen. De deuren gaan open en de rode loper voor de podiumkunst wordt weer uitgerold. Radiopresentatoren Frank van der Lende, Eva Eikhout, Julien Kooij en Wouter Bouwman nodigen jonge makers en cultuurgasten uit die werkzaam zijn bij podia, theaters of festivals.",Programmas,https://www.npostart.nl/cultuurbooster/BV_101407951,/images/tile-placeholder.png,https://images.npo.nl/header/2560x1440/bnnvara-cultuurbooster-250222-037p_cdn_header-1647332477.jpg,[]
12,De Kaktest,Amber en Jurre doorbreken taboes rondom onze WC-gewoontes. In 20 vragen testen ze het panel van BN'ers op hun kennis over poep en het belang hiervan op onze gezondheid. Wie heeft de meeste kakkennis?,Programmas,https://www.npostart.nl/de-kaktest/POMS_S_BV_16830049,https://weserv.moviemeter.nl/?url=https://www.moviemeter.nl/images/cover/7000/7959.jpg?cb=1362993479,https://weserv.moviemeter.nl/?url=https://www.moviemeter.nl/images/cover/7000/7959.jpg?cb=1362993479,"['Drama', 'Misdaad']"
13,Invictus Games,"Een internationaal sportevenement voor militairen en veteranen die fysiek of mentaal gewond zijn geraakt en zich nu sportief willen meten met hun lotgenoten. Vijfhonderd deelnemers uit twintig landen gaan in tien disciplines de strijd met elkaar aan. De NOS doet dagelijks verslag vanuit Den Haag, van 16 tot en met 22 april 2022.",Programmas,https://www.npostart.nl/invictus-games/NOSInvictusGames,https://weserv.moviemeter.nl/?url=https://www.moviemeter.nl/images/cover/78000/78254.jpg?cb=1673717682,https://weserv.moviemeter.nl/?url=https://www.moviemeter.nl/images/cover/78000/78254.jpg?cb=1673717682,"['Actie', 'Sciencefiction']"
